Item,Quantidade
2024-10,2
2024-09,3
2024-08,1
2024-05,1
2024-04,1
2024-02,1
2023-12,1
2023-10,3
2023-07,1
2023-05,1
2023-03,3
2023-02,1
2023-01,2
2022-12,3
2022-11,3
2022-09,4
2022-07,1
2022-06,2
2022-05,5
2022-04,5
2022-03,9
2022-02,7
2022-01,9
2021-11,5
2021-10,1
2021-09,5
2021-08,2
2021-07,7
2021-06,9
2021-05,11
2021-04,13
2021-03,5
2021-02,3
2021-01,5
2020-12,5
2020-11,4
2020-10,2
2020-09,8
2020-08,2
2020-07,1
2020-02,2
2019-10,4
2019-07,1
2019-01,1
2018-08,2
2018-06,1
2017-11,1
2017-05,1
2015-01,1
